Hoja1: Table 1,,,,,
ITEM1_DESC,SIZE_DESC,Departamento,Precio Estimado,,
Aceite vegetal 123  1 l,1LT,Abarrotes,28.5,,
Sopa instántanea Maruchan  con camarón limón y habanero 64 g,64GR,Abarrotes,11.5,,
Sopa instantánea Maruchan  sabor pollo 64 g,64GR,Abarrotes,11.5,,
Sopa instantánea Maruchan  con camarón 64 g,64GR,Abarrotes,11.5,,
Sopa instantánea Maruchan  con camarón y chile piquín 64 g,64GR,Abarrotes,11.5,,
Té de manzanilla La Pastora  20 sobres,20SB,Abarrotes,10,,
Avena Granvita  1 kg,1KG,Abarrotes,22.5,,
Tostadas Sanissimo  horneadas 240 g,240GR,Abarrotes,28.9,,
Tostaditas Salmas  de maíz horneadas 90 g,CAJA,Abarrotes,15,,
Azúcar morena Zulka  1 kg,1KG,Abarrotes,32.5,,
Azúcar morena Zulka  2 kg,2 KLS,Abarrotes,61,,
Sardinas Guaymex  en salsa de tomate 425 g,425GR,Abarrotes,27.2,,
Polvo para gelatina de agua D'Gari  sabor uva 120 g,120GR,Abarrotes,10.2,,
Polvo para gelatina de agua D'Gari  sabor piña 120 g,120GR,Abarrotes,10.2,,
Polvo para gelatina de agua D'Gari  sabor limón 120 g,120GR,Abarrotes,10.2,,
Agua Bonafont  6 botellas de 1 l c/u,6X1L,Abarrotes,32.9,,
"Agua Bonafont  natural, 8 botellas de 500 ml c/u",8X500M,Abarrotes,33.9,,
Agua Bonafont  botella de 1 l,1L,Abarrotes,6.5,,
Galletas Crackets  sabor mantequilla 1 paquete con 3 rollos,285GR,Abarrotes,25,,
Galletas Crackets  sabor mantequilla 6 rollos,417GR,Abarrotes,31,,
Avena Quaker 3 Minutos y sémola de trigo 311 g,311GR,Abarrotes,11.9,,
Papas Ruffles  sabor queso 200 g,200GR,Abarrotes,33.9,,
Galletas Marías Gamesa 5 rollos de 144 g,720GR,Abarrotes,39.9,,
Galletas Marías Gamesa 3 pzas 432 g,432,Abarrotes,25,,
Media crema Nestlé  225 g,225GR,Abarrotes,13.8,,
Mayonesa McCormick  con jugo de limones 870 g,870GR,Abarrotes,59,,
Mermelada de fresa McCormick  450 g,450GR,Abarrotes,31.8,,
Té de manzanilla McCormick  27 bolsitas de 1.2 g c/u,27S,Abarrotes,18,,
Mayonesa McCormick  con jugo de limón 390 g,390GR,Abarrotes,33.5,,
Caldo de pollo Knorr  en polvo 370 g,370GR,Abarrotes,39.9,,
Cereal kellogg's  corn flakes 530 g,530G,Abarrotes,33.9,,
Cereal Kellogg's Zucaritas 760 g,760 G,Abarrotes,49.9,,
Cereal Kellogg's Froot Loops 410 g,410 GR,Abarrotes,69,,
Cereal Kellogg's Choco Krispis 650 g,650 GR,Abarrotes,46.9,,
Papas Sabritas  original 170 g,170GR,Abarrotes,33.9,,
 Doritos Nacho con chile sabor queso 245 g,245GR,Abarrotes,33.9,,
Duraznos en almíbar La Costeña  mitades 820 g,820GR,Abarrotes,42,,
Rajas de jalapeño La Costeña  en escabeche 380 g,380 G,Abarrotes,19.9,,
Elote dorado La Costeña  en lata 410 g,410GR,Abarrotes,14,,
Rajas de jalapeño La Costeña  en escabeche 220 g,220 G,Abarrotes,11.5,,
Puré de tomate La Costeña  condimentado 210 g,210GR,Abarrotes,5.9,,
Sopa de fideo La Moderna  No.0 200 g,200GR,Abarrotes,6.5,,
Spaghetti La Moderna  corto 200 g,200GR,Abarrotes,6.5,,
Spaghetti La Moderna  450 g,450GR,Abarrotes,12,,
Atún Nair  aleta amarilla en aceite 130 g,130GR,Abarrotes,10.9,,
Atún Nair  aleta amarilla en agua 130 g,130GR,Abarrotes,10.9,,
Galletas Príncipe  6 paquetes de 6 pzas c/u 378 g,CAJA,Abarrotes,25,,
Barritas Marinela  relleno de piña 5 paquetes con 2 pzas c/u,GR,Abarrotes,25,,
Barritas Marinela  relleno de fresa 5 paquetes con 2 pzas c/u,GR,Abarrotes,25,,
Canelitas Marinela  6 paquetes de 60 g c/u,CAJA,Abarrotes,27,,
Aceite puro de soya Nutrioli  1.05 l,1.05LT,Abarrotes,29.5,,
Aceite de soya y canola Sabrosano  946 ml,946ML,Abarrotes,27.5,,
Bebida Boing  con pulpa de mango fortificada 1 l,1000ML,Abarrotes,14.5,,
TUNY EXPRESS ATUN AGUA 140GR,140GR,Abarrotes,14,,
TUNY EXPRESS ATUN ACEITE 140GR,140GR,Abarrotes,14,,
ATUN JUMBO TUNY EXPRESS AGUA 295 GRAMOS,295GR,Abarrotes,28.5,,
Lomo de atún Dolores  aleta amarilla en aceite 295 g,295GR,Abarrotes,33,,
Lomo de atún Dolores  aleta amarilla en agua 295 g,295GR,Abarrotes,33,,
DOLORES ATUN EN AGUA LATA 130GR,130GR,Abarrotes,15.9,,
DOLORES ATUN EN ACEITE LATA 130GR,130GR,Abarrotes,15.9,,
Arroz La Merced  super extra 907 g,907GR,Abarrotes,27,,
Frijol negro Querétaro La Merced  907 g,907GR,Abarrotes,30,,
Frijoles bayos La Sierra  refritos en bolsa 430 g,430GR,Abarrotes,13,,
Frijoles Bayos La Sierra  refritos en lata 580 g,580GR,Abarrotes,14.9,,
Bebida rehidratante Powerade  sabor moras 1 l,1000ML,Abarrotes,19,,
Bebida rehidratante Powerade  sabor frutas 1 l,1000ML,Abarrotes,19,,
Leche evaporada Nestlé Carnation Clavel 360 g,360GR,Abarrotes,16.1,,
Café soluble Nescafé  clásico 225 g,225GR,Abarrotes,92,,
Leche condensada Nestlé La Lechera original 387 g,387GR,Abarrotes,21.3,,
Leche condensada Nestlé La lechera la original 190 g,190GR,Abarrotes,11.6,,
Café soluble Nescafé  estilo café de olla 170 g,170GR,Abarrotes,51,,
Café soluble Nescafé  clásico 400 g,400GR,Abarrotes,151,,
Leche evaporada Nestlé Carnation Clavel 720 g,720GR,Abarrotes,28.5,,
Leche evaporada Nestlé Carnation Clavel 930 ml,930ML,Abarrotes,38.3,,
Leche en polvo Nestlé Carnation Clavel 460 g,460GR,Abarrotes,45.5,,
Café soluble Nescafé Dolca mezclado con caramelo 300 g,300GR,Abarrotes,90,,
Cereal Maizoro Azucaradas 720 g,720GR,Abarrotes,34.5,,
Frijol peruano Verde Valle  750g,750GR,Abarrotes,43.5,,
Arroz Verde Valle  súper extra 1 kg,1KG,Abarrotes,28.9,,
Frijol negro Verde Valle  1 kg,1KG,Abarrotes,35.9,,
Frijoles bayos Isadora  refritos en bolsa 430 g,430GR,Abarrotes,13.9,,
Spaghetti Italpasta  200 g,200GR,Abarrotes,5,,
Harina para hot cakes San blas  tradicionales 900 g,0,Abarrotes,20,,
Arroz Sos  grueso súper extra 1 kg,1KG,Abarrotes,28.9,,
Producto lácteo condensado Pronto  380 g,380GR,Abarrotes,17.5,,
Arroz Schettino  súper extra 907 g,907 GR,Abarrotes,24.5,,
Harina para hot cakes Gamesa  tradicionales 800 g,800,Abarrotes,29.9,,
Aceite de oliva Great Value  extra virgen 500 ml,500ML,Abarrotes,69,,
AURRERA ACEITE VEGETAL COMESTIBLE 900 ML,900ML,Abarrotes,23,,
Frijol negro Aurrera  Querétaro 900 g,900,Abarrotes,21,,
Azúcar Great Value  estándar 1 kg,1 KG,Abarrotes,28,,
Azúcar Great Value  estándar 2 kg,2 KG,Abarrotes,55,,
Agua Purificada Great Value  botella 1 l,1LT,Abarrotes,3.8,,
Arroz super extra Aurrera  grano largo 900 g,900GR,Abarrotes,19.9,,
Malvaviscos Great Value  clásicos sabor fresa y vainilla 240 g,240GR,Abarrotes,11.9,,
Leche condensada Aurrera  380 g,380GR,Abarrotes,16,,
Aceite Vita  puro de canola 940 ml,BOTELL,Abarrotes,24.9,,
Aceite Capullo  100% puro de canola 845 ml,845ML,Abarrotes,29,,
Chocolate en polvo Choco Milk  350 g,350GR,Abarrotes,33.5,,
Galletas Oreo  4 paquetes con 6 galletas c/u 273.6 g,274GR,Abarrotes,28.9,,
Botana surtida Paketaxo  sabor quexo 215 g,1,Abarrotes,33.9,,
Bebida Boing  pulpa de mango 250 ml,250ML,Abarrotes,4.2,,
Chiles chipotles La Costeña  en adobo 105 g,105 G,Abarrotes,11,,
Media crema Great Value  250 ml,250ML,Abarrotes,8.9,,
Galletas Doradas Marías Gamesa 513 g,513GR,Abarrotes,44,,
 Cheetos Torciditos sabor queso y chile 255 g,225GR,Abarrotes,33.9,,
Café soluble Legal  mezclado con azúcar 180 g,CAFE L,Abarrotes,44.9,,
Café soluble Nescafé Decaf sin cafeína 170 g,UNICO,Abarrotes,77,,
Salsa picante Valentina  etiqueta amarilla 350 ml,350ML,Abarrotes,9.5,,
Galletas Gamesa Saladitas 186 g,186GR,Abarrotes,15,,
Sopa de fideo La Moderna  No.2 200 g,200GR,Abarrotes,6.5,,
Sopa de codo La Moderna  No.2 200 g,200GR,Abarrotes,6.5,,
Frijoles negros La Sierra  refritos en bolsa 430 g,430GR,Abarrotes,13,,
Agua mineral Peñafiel  2 l,2LT,Abarrotes,16.9,,
Lentejas La Merced  500 g,500GR,Abarrotes,20.9,,
Leche en polvo Nestlé Carnation Clavel 120 g,120G,Abarrotes,12.4,,
Frijol pinto Verde Valle  1 kg,1KG,Abarrotes,41.5,,
Sopa de lengua La Moderna  200 g,200GR,Abarrotes,6.5,,
Pan blanco Bimbo  artesano 567 g,567GR,Abarrotes,38.9,,
Crema de avellanas Nutella  350 g,350GR,Abarrotes,67,,
Mayonesa McCormick  con jugo de limones 1.4 kg,1.4KG,Abarrotes,99,,
Cereal Kellogg's Extra arándanos 420 g,420GR,Abarrotes,43.9,,
Cereal Kellogg's Corn Pops 490 g,490 G,Abarrotes,72.5,,
Café soluble Great Value  colombiano gourmet 200 g,200G,Abarrotes,95,,
Café soluble Oro  24 kilates 160 g,160,Abarrotes,54,,
Producto lácteo combinado en polvo Alpura Kids con miel y cereal 1.800 kg,1.8KG,Abarrotes,200,,
Café soluble Nescafé Dolca mezclado con caramelo 170 g,170GR,Abarrotes,63.5,,
Café soluble Nescafé  clásico 120 g,120GR,Abarrotes,66.5,,
Alimento para niños Nido Kinder mis primeros pasos 1-3 años 1.5 kg,1.5KG,Abarrotes,235,,
Leche entera Nido Forti Crece 1.92 kg,1.92KG,Abarrotes,247,,
AU ACEITE VEGETAL 3.5 LT,3.5 L,Abarrotes,92.5,,
Frijol pinto Aurrera 900 g,900,Abarrotes,24.5,,
Agua purificada Great Value  24 botellas de 500 ml c/u,12LT,Abarrotes,49.9,,
Bebida Boing  jugo de manzana 250 ml,250ML,Abarrotes,4.2,,
Bebida Boing  jugo de uva 250 ml,250ML,Abarrotes,4.2,,
TRES ESTRELLAS GALLETA SANDWICH CHOCOLAT,80GR,Abarrotes,5,,
Polvo para gelatina de agua D'Gari  sabor fresa 120 g,120GR,Abarrotes,10.2,,
Paleta payaso Ricolino  45 g,45GR,Abarrotes,12.5,,
Granos de elote Herdez  400 g,400GR,Abarrotes,14.9,,
Ensalada de legumbres Herdez  en lata 400 g,400GR,Abarrotes,14.5,,
Granos de elote Del Monte  dorados en lata 400 g,400GR,Abarrotes,12.5,,
