Hoja1: Table 1,,,,,
ITEM1_DESC,SIZE_DESC,Departamento,Precio Estimado,,
Pan de Banano y Agraz,N/A,N/A,"15,800",,
Covarachía 24oz,N/A,N/A,"9,900",,
Cebolla 24 oz,N/A,N/A,"9,900",,
Espinaca 24oz,N/A,N/A,"8,900",,
Salsa Parmesana 9oz,N/A,N/A,"12,900",,
Curry 18oz,N/A,N/A,"15,200",,
Salsa de la Casa 18oz,N/A,N/A,"12,500",,
Salsa Napolitana 18oz,N/A,N/A,"10,500",,
Boloñesa 20oz,N/A,N/A,"14,900",,
Stroganoff 20 oz,N/A,N/A,"43,600",,
Lomito Pimienta 20 oz,N/A,N/A,"43,600",,
Ternera con Champiñones 20oz,N/A,N/A,"28,900",,
Cochinita Pibil 12oz,N/A,N/A,"20,000",,
Carne Desmechada 8oz,N/A,N/A,"18,000",,
Pollo Miel 200gr,N/A,N/A,"15,500",,
Pesto 9oz,N/A,N/A,"15,900",,
Hogao 90,N/A,N/A,"3,900",,
Roastbeef 250gr,N/A,N/A,"27,900",,
Salsa Arequipe 9oz,N/A,N/A,"5,900",,
Salsa Frutos del Bosque 9oz,N/A,N/A,"10,200",,
Salsa de chocolate 9oz,N/A,N/A,"7,000",,
Masa Waffle 18oz,N/A,N/A,"6,500",,
Masa de Choclo 18oz,N/A,N/A,"9,900",,
Vinagreta Balsámico 9oz,N/A,N/A,"6,500",,
Vinagreta Oriental 9oz,N/A,N/A,"6,500",,
Vinagreta Mostaza 9 oz,N/A,N/A,"6,500",,
Sopa de Espinaca,N/A,N/A,"8,900",,
Sopa Mexicana de Pollo,N/A,N/A,"14,600",,
Sopa de Lentejas Pardinas,N/A,N/A,"9,500",,
Sopa Covarachía,N/A,N/A,"10,500",,
Sopa de Cebolla Gratinada,N/A,N/A,"8,900",,
"Crepe de Pollo, Queso y Champiñones",N/A,N/A,"16,900",,
Crepe de Pollo y Queso,N/A,N/A,"15,400",,
"Crepe de Pollo, Espárragos y Queso",N/A,N/A,"16,900",,
Crepe de Pollo al Curry,N/A,N/A,"16,900",,
"Crepe de Pollo, Espinaca y Queso",N/A,N/A,"16,900",,
Crepe de Pollo Trufa Mexicano,N/A,N/A,"19,900",,
"Crepe de Pollo, Brócoli y Queso",N/A,N/A,"16,900",,
Crepe de Pollo Peruano,N/A,N/A,"18,200",,
Crepe de Pollo Mexicano,N/A,N/A,"18,900",,
Crepe de Pollo Thai,N/A,N/A,"19,900",,
Crepe de Boloñesa y Queso,N/A,N/A,"12,500",,
"Crepe de Boloñesa, Queso y Champiñones",N/A,N/A,"15,900",,
"Crepe de Boloñesa, Jamón y Queso",N/A,N/A,"14,500",,
Crepe de Stroganoff,N/A,N/A,"22,400",,
Crepe de Lomito Pimienta,N/A,N/A,"22,400",,
Crepe de Ternera,N/A,N/A,"17,400",,
Crepe de Ternera y Champiñones,N/A,N/A,"18,500",,
"Crepe de Ternera, Espinaca y Queso",N/A,N/A,"18,500",,
Crepe Mexicano,N/A,N/A,"16,700",,
Crepe de Lomo Árabe,N/A,N/A,"25,900",,
Crepe Sombrero Vueltiao,N/A,N/A,"16,900",,
Crepe de Roastbeef,N/A,N/A,"22,900",,
Crepe de Cochinita Pibill,N/A,N/A,"15,900",,
Crepe de Camarones al Curry,N/A,N/A,"28,200",,
Crepe de Camarones en Salsa de la Casa,N/A,N/A,"28,200",,
"Crepe de Camarones con Espinaca en salsa al Curry, al Ajillo o en Salsa de la Casa (Marco Polo)",N/A,N/A,"28,900",,
Crepe de Calamares en Salsa de la Casa (Marco Polo),N/A,N/A,"19,900",,
Crepe Mar Encocado,N/A,N/A,"28,900",,
Crepe de Palmitos en Salsa de la Casa (Marco Polo),N/A,N/A,"17,900",,
Crepe de Atún en Salsa de la Casa,N/A,N/A,"18,900",,
Crepe de Jamón y Queso,N/A,N/A,"11,900",,
Crepe de Jamón y queso,N/A,N/A,"11,900",,
"Crepe de Jamón, Queso y Champiñones",N/A,N/A,"14,700",,
Crepe de Pavo y Queso Holandés con Salsa Dijonnaise,N/A,N/A,"17,500",,
Crepe Sensación Colombia,N/A,N/A,"16,600",,
Crepe Sensación Colombia,N/A,N/A,"16,600",,
Crepe Poblana,N/A,N/A,"14,900",,
Crepe Normanda,N/A,N/A,"14,500",,
Crepe Toscana,N/A,N/A,"14,900",,
Crepe Caprino,N/A,N/A,"17,500",,
Pita de Pavo,N/A,N/A,"18,500",,
Pita Mozzarella Pocket,N/A,N/A,"11,900",,
Pita Siciliana,N/A,N/A,"15,500",,
Pita Vegetariana,N/A,N/A,"14,900",,
Pita de Pollo,N/A,N/A,"15,400",,
Ensalada Mediterránea,N/A,N/A,"28,900",,
Ensalada Florentina,N/A,N/A,"19,400",,
Ensalada Thai,N/A,N/A,"22,900",,
Ensalada Marroquí con Camarón,N/A,N/A,"28,500",,
Ensalada Pollo Marroquí,N/A,N/A,"17,600",,
Ensalada César con Salmón,N/A,N/A,"28,200",,
Ensalada César con pollo,N/A,N/A,"16,200",,
Ensalada César,N/A,N/A,"11,500",,
Ensalada de la Barra,N/A,N/A,"12,900",,
Panne Cook de Pollo al Curry,N/A,N/A,"21,900",,
Panne Cook de Pollo,N/A,N/A,"19,900",,
"Panne Cook de Pollo, Queso y Champiñones",N/A,N/A,"21,200",,
Panne Cook de Pollo y Champiñones,N/A,N/A,"19,500",,
"Panne Cook de Pollo, Champiñones y Espárragos",N/A,N/A,"21,200",,
Panne Cook de Lomito Pimienta,N/A,N/A,"28,200",,
Panne Cook de Camarones en salsa de la Casa (Marcopolo),N/A,N/A,"30,900",,
Panne Cook de Camarones al Curry,N/A,N/A,"30,900",,
Panne Cook de Calamares en salsa de la Casa (Marcopolo),N/A,N/A,"24,200",,
Panne Cook de Calamares al Curry,N/A,N/A,"24,200",,
Panne Cook de Palmitos en salsa de la Casa (Marcopolo),N/A,N/A,"22,000",,
